,Quote,Author
1384,It's hard to force creativity and humor,Al Yankovic
1385,There are two great days in a person's life - the day we are born and the day we discover why,William Barclay
1386,The most seductive thing about art is the personality of the artist himself,Paul Cezanne
1387,"If you have a garden and a library, you have everything you need",Marcus Tullius Cicero
1388,Fiction is the truth inside the lie,Stephen King
1389,We live for books,Umberto Eco
1390,I love you more than there are stars in the sky and fish in the sea,Nicholas Sparks
1391,It is wise to keep in mind that neither success nor failure is ever final,Roger Babson
1392,"I'm a sarcastic person, and people don't get my humor sometimes",Sarah Hyland
1393,"Art requires neither complaisance nor politeness; nothing but faith, faith and freedom",Gustave Flaubert
1394,"Who, being loved, is poor?",Oscar Wilde
1395,"Should I kill myself, or have a cup of coffee?",Albert Camus
1396,"Blessed is he who expects nothing, for he shall never be disappointed",Alexander Pope
1397,Bad humor is an evasion of reality; good humor is an acceptance of it,Malcolm Muggeridge
1398,"Whatever you do in life, surround yourself with smart people who'll argue with you",John Wooden
1399,Sometimes it's hard to be a woman giving all your love to just one man,Tammy Wynette
1400,"Everybody loves success, but they hate successful people",John McEnroe
1401,"My humor is my creativity, and my skepticism is a gift",J. Tillman
1402,"Step with care and great tact, and remember that Life's a Great Balancing Act",Dr. Seuss
1403,"True love is quiescent, except in the nascent moments of true humility",Bryant H. McGill
1404,Stories of imagination tend to upset those without one,Terry Pratchett
1405,"I think superheroes are heroes with flaws, and in their flaws, there is a sense of humor",Peter Segal
1406,I'm lucky in having found the perfect partner to spend my life with,Sara Paretsky
1407,We don't believe in rheumatism and true love until after the first attack,Marie von Ebner-Eschenbach
1408,To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you,C.S. Lewis
1409,Life stands before me like an eternal spring with new and brilliant clothes,Carl Friedrich Gauss
1410,God has no religion,Mahatma Gandhi
1411,"When life gives you lemons, squirt someone in the eye",Cathy Guisewite
1412,Try to look at your weakness and convert it into your strength. That's success,Zig Ziglar
1413,Love him and let him love you. Do you think anything else under heaven really matters?,James A. Baldwin
1414,"Whether it be personal or musical, I just think I'm a walking art piece, just a ball of creativity",Chris Brown
1415,Wise men speak because they have something to say; fools because they have to say something,Plato
1416,A woman's heart should be so hidden in God that a man has to seek Him just to find her,Max Lucado
1417,Love is blind,Geoffrey Chaucer
1418,Love is what you've been through with somebody,James Thurber
1419,The truth does not change according to our ability to stomach it,Flannery O'Connor
1420,"Within the hearts men, loyalty and consideration are esteemed greater than success",Bryant H. McGill
1421,I think togetherness is a very important ingredient to family life,Barbara Bush
1422,What we have once enjoyed we can never lose. All that we love deeply becomes a part of us,Helen Keller
1423,The huge problem in our society is the enormous ignorance of the ideas that underlie modern art,Thom Mayne
1424,Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness,Maya Angelou
1425,You must have chaos within you to give birth to a dancing star,Friedrich Nietzsche
1426,"Words are, of course, the most powerful drug used by mankind",Rudyard Kipling
1427,It's kind of fun to do the impossible,Walt Disney Company
1428,You cannot swim for new horizons until you have courage to lose sight of the shore,William Faulkner
1429,I don't really need to be remembered. I hope the music's remembered,Jeff Buckley
1430,You believe lies so you eventually learn to trust no one but yourself,Marilyn Monroe
1431,War is what happens when language fails,Margaret Atwood
1432,It is better to fail in originality than to succeed in imitation,Herman Melville
1433,Bad faith likes discourse on friendship and loyalty,Mason Cooley
1434,"I say if you fight terrorism, it's based in fear, but if you promote peace, it's based on hope",Greg Mortenson
1435,"If you wished to be loved, love",Lucius Annaeus Seneca
1436,"You know, one of the tragedies of real life is that there is no background music",Annie Proulx
1437,"We must walk consciously only part way toward our goal, and then leap in the dark to our success",Henry David Thoreau
1438,When we are in love we seem to ourselves quite different from what we were before,Blaise Pascal
1439,"Weeds are flowers, too, once you get to know them",A.A. Milne
1440,I only understand friendship or scorched earth,Roger Ailes
1441,"We waste time looking for the perfect lover, instead of creating the perfect love",Tom Robbins
1442,Books. Cats. Life is Good,Edward Gorey
1443,Success and money can really be quite blinding,Jim Harrison
1444,"When the world is so complicated, the simple gift of friendship is within all of our hands",Maria Shriver
1445,The purpose of art is washing the dust of daily life off our souls,Pablo Picasso
1446,"Blessed is the influence of one true, loving human soul on another",George Eliot
1447,When love is not madness it is not love,Pedro Calderón de la Barca
1448,"All those who are around me are the bridge to my success, so they are all important",Manny Pacquiao
1449,Friendship's the wine of life: but friendship new... is neither strong nor pure,Edward Young
1450,"I hope to make acting my career for the rest of my life, if I can",Chloe Grace Moretz
1451,We can only learn to love by loving,Iris Murdoch
1452,A lie gets halfway around the world before the truth has a chance to get its pants on,Winston S. Churchill
1453,The sacrifices of friendship were beautiful in her eyes as long as she was not asked to make them,Hector Hugh Munro
1454,A day without laughter is a day wasted,Charlie Chaplin
1455,"I'm loyal, and I like my friends. Friendship enriches your life and makes it more interesting",Wendi Deng Murdoch
1456,It's tragic from how far we've come from 'Hope and Change',Ted Cruz
1457,Laughter is an instant vacation,Milton Berle
1458,The hunger for love is much more difficult to remove than the hunger for bread,Mother Teresa
1459,Only in the darkness can you see the stars,Martin Luther King Jr.
1460,I was never really insane except upon occasions when my heart was touched,Edgar Allan Poe
1461,I think the way to keep a friendship is to respect that everybody is different,Emma Bunton
1462,"Right now I'm not involved with anybody, but I hope by 75 I will be again",Stevie Nicks
1463,The most wasted of all days is one without laughter,e. e. cummings
1464,To do a dull thing with style-now that's what I call art,Charles Bukowski
1465,We are born of love; Love is our mother,Rumi
1466,"From there to here, and here to there, funny things are everywhere",Dr. Seuss
1467,Love knows not distance; it hath no continent; its eyes are for the stars,Gilbert Parker
1468,Success for an athlete follows many years of hard work and dedication,Michael Diamond
1469,It's an art to live with pain... mix the light into gray,Eddie Vedder
1470,"If you find someone you love in your life, then hang on to that love",Princess Diana
1471,"No person is your friend who demands your silence, or denies your right to grow",Alice Walker
1472,Raising children is an uncertain thing; success is reached only after a life of battle and worry,Democritus
1473,I think the most important thing is to keep active and to hope that your mind stays active,Jane Goodall
1474,"From what we get, we can make a living; what we give, however, makes a life",Arthur Ashe
1475,"I like to change. A new lamp, a piece of art, can transform a room",Madonna Ciccone
1476,"If you obey all of the rules, you miss all of the fun",Katharine Hepburn
1477,"Life is to be enjoyed, not endured",Gordon B. Hinckley
1478,Right now I’m having amnesia and déjà vu at the same time. I think I’ve forgotten this before,Steven Wright
